index,account_length,total_day_charge,total_eve_minutes,total_night_charge,total_intl_charge,customer_service_calls,churn
587,114,28.83,58.9,8.07,2,1,0
588,101,15.25,260.1,7.65,3.65,5,1
589,117,13.63,219,5.52,2.32,1,0
590,109,37.21,299.9,7.14,3.05,2,0
591,82,21.37,207.6,8.24,3.48,1,0
592,92,29.97,93.4,9.32,2.59,2,0
593,82,35.22,254.1,7.62,2.57,2,0
594,90,34.97,161.9,12.14,3.38,2,0
595,87,25.74,152.4,11.25,0,1,0
596,124,26.78,130.7,8.7,2.59,3,0
597,39,27.27,102.6,10.59,2.46,2,0
598,84,27.03,167.9,7.54,3.32,1,0
599,75,36.4,200.9,11.11,2.48,0,0
600,102,17.44,246,7.67,2.46,2,0
601,62,27.15,197.5,5.47,3.75,0,1
602,143,34.48,165.8,6.48,1.24,1,0
603,53,9.78,265.5,10.99,3.13,3,0
604,30,28.88,225.2,7.64,3.08,1,0
605,112,57.04,212.5,11.93,3.43,2,1
606,129,23.72,289.3,5.82,3.54,0,0
607,63,24.19,118.7,10.8,1.78,1,0
608,28,31.93,248.6,9.4,2.86,0,0
609,111,24.85,261.5,7.34,2.35,3,0
610,91,39.41,150.6,12.11,3.13,3,0
611,90,32.93,154.2,13.46,3.43,1,0
612,151,26.59,233.4,8.81,2.08,4,0
613,105,37.52,217.7,8.57,3.56,1,1
614,41,40.77,221.9,8.51,1.97,2,0
615,48,29.24,200.2,10.49,2.16,1,0
616,166,21.79,274.5,13.45,2.38,2,0
617,79,22.13,290.9,8.77,3.78,3,0
618,153,33.22,154.6,6.43,3.13,1,0
619,110,49.86,188.5,12.01,3.92,0,1
620,163,32.52,193.9,12.08,3.46,1,0
621,126,20.81,143.8,7.07,3.11,1,0
622,105,35.63,146.9,5.44,2.86,2,0
623,172,36.67,146.3,11.91,1.92,3,0
624,126,27.44,220.6,11.21,1.38,0,0
625,97,24.51,226.7,6.51,3.73,3,0
626,95,37.43,185.3,9.23,1.11,0,1
627,87,43.55,160.7,11.22,2,4,0
628,97,19.16,217.7,6.84,1.76,1,0
629,76,50.92,226.7,9.48,3.7,0,1
630,140,33.12,170.9,10.13,3.75,0,0
631,169,17.14,230,8.71,2.57,0,0
632,68,14.03,289.9,8.1,1.3,3,0
633,122,24.89,89.7,9.9,4.21,2,0
634,36,30.24,224.6,13.78,2.92,2,0
635,120,26.1,194,11.54,2.75,5,0
636,121,25.62,197.3,7.61,2.48,1,0
637,64,30.62,127.5,10.68,2.03,0,0
638,13,45.1,147.6,11.67,3.48,1,0
639,106,21.86,134,9.48,3.08,0,0
640,88,27.46,173.5,9.28,2.13,2,0
641,74,28.1,198.5,9.38,2.65,1,0
642,83,33.15,210.5,8.13,2.97,0,0
643,49,36.35,265.1,10.79,4.21,0,0
644,111,34.94,219.3,9.72,3.78,1,0
645,50,42.99,177.9,7.13,2.3,3,0
646,153,40.05,227.9,7.66,4.16,0,0
647,88,32.64,127.6,7,2.03,1,0
648,131,11.75,101.3,4.72,2.46,0,0
649,79,44.49,210.6,11.55,1.62,3,1
650,140,40.04,257.2,4.64,3.11,2,0
651,105,36.28,204.9,8.09,2.57,1,0
652,54,35.17,127.8,8.96,2.48,3,0
653,87,44.85,103.4,9.36,2.3,3,0
654,96,31.18,195.5,8.1,2.84,1,0
655,79,26.79,194.1,10.42,2.54,5,1
656,55,29.85,161.8,13.03,2.51,0,0
657,130,41.23,102.8,6.41,2.51,2,0
658,34,25.67,131.4,8.4,2.67,0,0
659,139,23.48,164.5,6.07,2.24,1,0
660,109,45,305,8.88,2.57,1,1
661,65,47.99,152,10.15,3.24,1,0
662,63,35.9,237.7,11.66,3.32,0,0
663,152,33.51,130.1,3.51,2,3,0
664,147,34.9,166.7,10.83,2.11,1,0
665,112,30.91,228.1,11.82,2.48,2,0
666,120,42.84,150.2,6.83,2.59,2,0
667,27,32.95,118.9,6.12,2.48,0,0
668,171,39.3,188.7,9.31,3.32,1,0
669,101,34.02,188.9,9.23,4.19,0,0
670,32,45.34,232.3,9.58,4.4,1,0
671,3,20.08,221.5,4.68,3.21,2,0
672,151,29.8,144.3,7.21,3.19,0,0
673,60,21.27,248.8,9.51,3.02,3,0
674,119,30.06,224.7,9.21,2.03,1,0
675,43,41.12,129.4,11.92,1.59,1,0
676,42,41,116.5,6.85,2.86,0,0
677,84,36.91,236,5.32,2.54,1,0
678,65,33.22,181.2,8.03,2.4,0,0
679,75,37.81,327,9.36,2.35,1,1
680,116,32.22,189.8,9.26,3.54,1,0
681,107,20.93,158.4,11.52,2.51,0,0
682,189,43.64,150.5,5.54,3.08,3,0
683,123,27.05,241.6,9.11,1.76,1,0
684,110,17.02,233.3,9.2,3,3,0
685,63,5.25,187,10.39,2.32,1,0
686,176,37.94,214.4,6.95,2.73,3,0
687,108,31.86,199.9,9.72,3.4,1,0
688,13,53.65,208.9,11.7,3.27,3,0
689,71,47.18,131.8,5.71,2.21,1,0
690,88,32.27,197.3,10.55,4.02,2,0
691,137,25.02,192.8,7.77,2.75,1,0
692,82,31.59,276.5,8.64,1.54,4,0
693,92,26.42,188.5,11.47,2.16,3,0
694,165,26.21,268.6,8.5,2.94,6,0
695,96,16.59,105.5,9.91,3.13,1,0
696,156,30.4,178.4,7.61,2.03,1,0
697,63,25.38,273.6,9.3,2.46,0,0
698,37,35.02,186,13.82,2.27,0,0
699,98,36.86,190.8,8.44,2.97,0,0
700,121,17.56,129.1,7.52,2.89,0,0
701,94,23.7,159.1,5.77,2.08,0,0
702,99,32.5,163.9,10.96,3.81,1,0
703,163,27.2,189.4,10.35,2.81,1,0
704,161,37.69,193,8.73,1.76,3,0
705,99,10.69,231,7.6,2.3,1,0
706,108,36.65,195.3,8.75,0.97,1,0
707,84,28.1,223.5,11.74,2.05,3,0
708,83,16.1,154.4,9.02,2.86,2,0
709,139,34.54,152.5,8.9,2.62,2,0
710,69,33.2,216.7,11.7,3.38,3,0
711,129,24.43,297.8,9.57,3.08,4,0
712,106,19.45,78.3,10.47,0,2,0
713,158,37.88,203,9.48,1.86,2,0
714,168,29.9,211.7,7.85,1.97,2,0
715,115,42.48,242.5,6.83,4.13,1,1
716,57,39.87,195.2,12.1,3.08,2,0
717,67,35.82,219.2,8.09,1.94,1,0
718,127,30.99,169.9,8.28,2.51,1,0
719,78,32.35,194.5,11.54,3.16,2,0
720,100,30.11,163.7,10.92,2,0,0
721,103,14.82,169.3,7.5,2.94,6,1
722,113,36.65,193.4,4.74,3.65,1,0
723,78,23.36,237.6,9.3,3.78,3,0
724,129,32.78,177,9.74,4.43,1,0
725,57,25.38,200.2,10.43,3.21,2,0
726,82,24.43,170.7,12.95,2.11,1,0
727,64,38.22,190,9.96,2.48,1,0
728,86,44.4,214.2,6.97,3.43,2,0
729,151,33.41,175.8,9.98,3.62,0,0
730,94,46.1,202.6,9.97,3.11,3,1
731,90,35.22,292.5,10.18,2.16,2,0
732,48,51.07,133.2,8.88,1.94,2,0
733,85,39.03,132.3,9.54,2.57,2,0
734,93,31.88,169.8,7.89,3.27,1,0
735,169,9.71,199.7,12.36,1.76,3,0
736,68,27.56,155,8.54,2.97,5,1
737,91,24.65,175.8,10.07,4.51,2,1
738,68,27.12,240.8,9.46,3.08,1,0
739,101,32.42,208.6,9.17,2.38,1,0
740,67,39.2,189.1,7.3,2.54,1,0
741,66,5.78,278.6,5.83,3.11,0,0
742,116,32.88,240.6,11.16,3.08,5,0
743,158,34.34,163.5,8.79,2.81,1,0
744,78,32.59,241.4,9.16,2.46,1,0
745,119,27.42,250.3,6.41,1.78,1,0
746,120,25.6,119,10.48,1.73,1,0
747,155,31.38,196,10.19,2.11,1,0
748,106,37.52,270.2,5.47,2.35,1,0
749,87,28.44,198.5,5.99,2.97,1,0
750,146,26.18,185.5,6.67,2.21,3,0
751,101,20.59,186.4,10.88,2.73,0,0
752,22,30.96,164.6,5.8,3.43,3,0
753,90,18.63,137.6,7.19,2.97,2,0
754,41,35.68,121.9,11.42,2.59,1,0
755,69,28.48,242.1,4.55,3.08,2,0
756,33,36.36,239.8,6.69,2.65,2,0
757,112,19.69,243.3,8.31,3.54,1,0
758,108,47.02,220.1,8.01,2.65,2,0
759,136,30.5,181.1,14.43,2.57,2,0
760,128,31.84,270.8,9.29,2.73,1,0
761,27,34.2,227.2,6.56,2.27,2,0
762,161,32.23,267.4,8.3,0.35,1,0
763,33,31.76,261,14.3,4.05,0,0
764,120,26.1,219.1,10.68,3.08,0,0
765,113,31.89,208.2,7.15,2.35,2,0
766,122,39.25,243.2,8.21,2.97,0,1
767,148,41.63,118,10.62,4.1,2,0
768,74,39.25,223,7.1,2.62,3,0
769,106,31.81,250.2,6.52,2.97,1,0
770,179,29.02,191.1,9.66,3.59,1,0
771,149,21.57,166.9,6.53,2.38,5,1
772,77,32.22,207,9.63,2.48,0,0
773,127,30.07,167.9,8.2,2.08,1,1
774,80,27.39,198.8,10.28,2.86,1,0
775,106,28.8,197.2,9.1,2.89,1,0
776,61,43.25,161.7,11.31,2.84,0,0
777,135,21.71,215,10.54,1.57,2,0
778,115,28.99,217.2,10.16,3.67,6,0
779,167,37.25,242.9,7.6,2.73,2,0
780,107,46.5,183.8,6.92,2.97,2,0
781,112,27.52,200.9,6.03,2.89,1,0
782,35,41.09,142,13,2.54,1,0
783,103,10.68,170.4,12.61,2.54,3,0
784,107,47.79,143.7,10.77,3.02,1,0
785,69,38.79,263.7,6.42,2.89,3,0
786,85,35.67,194.5,9.02,3.05,0,0
787,24,45.15,208.8,8.21,3,2,1
788,90,36.53,117.8,6.02,3.19,2,0
789,137,18.79,223.2,7.63,2.84,3,0
790,92,47.79,198,4.24,2.03,0,0
791,38,23.43,286.3,7.52,3.81,2,0
792,69,46.16,253.4,7.44,2.21,1,1
793,45,19.18,218.8,10.81,2.43,2,0
794,73,31.84,239.7,7.54,4.08,1,0
795,92,33.49,269.3,7.15,2.92,1,0
796,113,30.67,129.4,7.51,2.27,1,0
797,68,25.25,219.4,8.93,3.92,1,1
798,135,33.51,259.4,6.06,3.94,2,0
799,100,26.13,137.8,9.61,4.29,1,0
800,96,44.42,220.9,8.07,3.05,1,0
801,108,41.85,202.4,8.1,2.54,1,0
802,84,32.47,318.8,11.13,1.76,0,0
803,134,35.41,253.6,13.1,3.4,1,0
804,72,43.01,219.3,9.49,2.65,0,0
805,83,34.39,201.5,4.58,1.84,0,0
806,137,29.65,156.3,6.14,2.75,0,0
807,56,21.61,172.1,8.76,3.27,1,0
808,61,24.4,242.6,6.65,3.05,0,0
809,171,31.77,240,9.04,1.57,1,0
810,123,32.98,242,6.58,3.27,1,0
811,58,39.92,106.8,8.03,2.67,0,0
812,156,21.03,103,8.52,3.54,1,0
813,166,29.56,276.4,8.59,4.13,0,0
814,75,22.25,203.4,7.73,3.35,1,0
815,75,53.48,169.8,12.83,1.54,2,1
816,83,38.74,207.5,9.53,3.27,1,0
817,243,16.24,163.7,11.89,1.78,2,0
818,153,31.5,208,9.27,4.08,1,0
819,150,24.87,202.7,10.56,3.54,1,0
820,92,31.28,76.4,8.33,3.43,2,0
821,80,17.99,43.9,8.53,3.54,0,0
822,134,30.26,153.8,10.65,3.16,1,0
823,77,25.4,123.9,7.84,2.73,1,0
824,147,35.6,132.5,6.72,3.05,2,0
825,74,29.26,211.7,8.2,3.13,1,0
826,138,28.78,217.9,8.29,2.54,1,0
827,143,20.25,287.7,10.04,3.29,0,0
828,64,33.01,173.4,12.09,1.49,2,0
829,120,33.8,230.1,5.39,2.67,2,0
830,121,28.51,93.7,10.86,3.62,3,1
831,88,34.37,216.8,10.77,3.19,2,0
832,87,54.83,204.6,8.38,2.54,2,1
833,100,36.75,215.6,6.23,2.75,0,0
834,104,12.99,115.6,10.18,2.54,3,0
835,27,12.36,208.6,2.96,2.67,1,0
836,81,35.77,225.5,7.59,2.62,0,0
837,64,21.62,162.9,11.13,2.19,0,0
838,107,34.31,304.9,10.15,3.21,1,0
839,88,37.32,222.1,8.47,4.35,1,0
840,111,16.88,270.5,10.14,2.43,3,0
841,77,40.66,150,7.24,2.78,5,0
842,67,20.55,235,4.28,3.08,2,0
843,102,38.2,129.4,7.54,4.27,1,0
844,146,30.02,162.7,9.7,3.94,1,0
845,144,48.26,192,8.83,2.7,1,0
846,96,30.7,190.9,13.3,2.78,1,1
847,70,21.4,196.4,11.37,2.78,1,0
848,149,40.39,192.4,9.33,2.46,0,0
849,129,33.73,264.7,5.01,2.48,2,0
850,166,46.63,52.9,11.07,2.94,0,0
851,136,33.93,211.4,3.26,2.97,3,1
852,149,37.01,273.5,10.21,2.59,3,0
853,70,22.9,235.9,11.71,2.05,3,0
854,120,36.16,257.5,10.25,2.62,2,0
855,66,43.57,180.2,8.43,1.67,2,0
856,104,31.21,120.7,9.68,3.43,1,0
857,160,29.95,196,11.88,2.48,1,0
858,129,34.85,165.4,8.32,3.16,1,0
859,93,45.54,223,11.82,3.05,3,1
860,169,30.46,175.2,10.29,2.67,2,0
861,58,25.4,196.5,9.43,4.02,1,0
862,75,27.81,146.7,15.56,3.54,3,0
863,45,35.29,152.7,9.8,3.35,1,0
864,155,28.12,183.7,3.61,2.4,3,0
865,52,35.67,171.3,6.96,2.67,4,0
866,119,37.42,268.2,6.59,3,0,0
867,86,24.02,154.3,9.48,2.21,1,0
868,42,33.41,241.3,6.44,1.08,0,0
869,127,30.75,209.5,11.25,2,2,0
870,123,17.85,251.6,11.61,4.02,0,0
871,98,46.14,190.4,12.81,3,4,1
872,149,35.14,174.6,10.87,2.94,1,0
873,160,28.36,236,13.84,2.51,1,0
874,103,34.83,135.2,9.37,2.81,5,0
875,132,26.28,245.6,6.69,2.46,1,0
876,137,21.59,323.2,6.48,2.03,1,0
877,129,45.46,204.2,5.03,1.59,1,0
878,62,47.77,160.6,3.51,0,1,0
879,122,46.04,220.4,7.65,3.19,4,0
880,32,29.1,185.6,9.15,2.75,1,0
881,86,21.1,202.6,13.03,1.81,3,0
882,130,27.68,290.3,5.17,1.94,1,0
883,42,24.87,255.9,2.03,2.16,1,0
884,73,43.32,143.4,6.93,4.05,2,0
885,66,43.33,243.2,8.59,1.46,2,0
886,103,18.31,188.9,8.83,2.4,0,0
887,128,27,264.8,12.15,2.05,1,0
888,104,31.09,239.6,10.34,1.49,2,0
889,103,33.75,42.5,8.06,3.35,0,0
890,124,30.33,233.6,8.07,3.24,0,0
891,87,18.85,158.5,9.34,1.67,1,0
892,109,28.37,221.2,8.88,3.32,1,1
893,167,41.62,60.8,7.95,2.89,2,0
894,97,20.54,169.8,8.73,3.21,4,1
895,106,28.1,210,8.42,2.3,2,0
896,125,21.54,155.5,9.28,3.89,2,0
897,108,36.7,200.6,8.79,4.19,0,0
898,125,23.82,209.6,11.88,2.16,1,0
899,89,35.68,249.8,10.09,2.35,1,0
900,72,23.77,138.2,9.95,1.49,0,0
901,23,54.67,251.6,6.35,3.05,2,1
902,149,28.32,218.8,9.37,2.21,7,0
903,73,36.41,196.8,7.11,1.59,0,0
904,61,44.2,210.5,10.56,2.43,1,1
905,161,32.62,70.9,9.22,3.62,4,1
906,73,36.21,188.8,6.13,3.65,0,0
907,118,20.08,109.6,11.05,4.56,1,0
908,23,32.33,166.4,9.89,4.05,6,0
909,127,13.97,163.3,11.92,1.38,0,0
910,42,27.85,177.8,8.57,2.19,0,0
911,118,45.53,316.4,9.39,3.89,5,1
912,45,27.17,120.4,7.34,2.86,2,0
913,50,36.43,289.8,14.06,2.86,1,0
914,179,48.84,288,11.97,2.84,0,1
915,152,17.2,141.6,8.93,2.03,2,0
916,105,17.48,281.7,10.26,3.56,2,0
917,72,18.55,115.7,13.31,2.24,0,0
918,52,36.7,217,15.43,1.4,1,0
919,125,34.58,128.7,8.57,2.97,1,0
920,143,18.72,169,7.5,2.48,1,0
921,65,18.87,219.8,9.09,1.19,1,0
922,80,40.78,142.3,16.39,2.51,1,0
923,1,24.62,112.5,9.84,3.73,1,0
924,60,23.02,205.9,9.18,2.13,1,0
925,43,14.31,80.8,8.82,2.92,1,0
926,143,35.55,106.1,8.08,3.78,0,0
927,81,22.12,196,6.27,3.08,0,0
928,205,29.89,155,8.13,2.11,2,0
929,24,41.12,145.2,9.65,1.78,1,0
930,74,23.24,228.6,11.94,2.65,0,0
931,77,11.51,195.7,10.64,3.24,1,0
932,74,34.07,309.2,6.84,2.7,1,0
933,74,21.39,207.7,9.33,3.81,1,1
934,200,21.79,133.2,7.99,3.02,1,0
935,86,38.47,223,11.5,3.51,4,0
936,91,27.59,233.9,12.48,2.48,0,0
937,76,38.15,147.9,8.27,1.81,2,0
938,130,20.49,189.7,12.15,3.86,1,0
939,56,15.49,179.3,13.53,3.21,2,0
940,117,28.7,241.4,9.22,4.19,0,0
941,63,26.1,287.3,10.36,1.76,2,0
942,126,38.45,140.3,9.4,1.73,0,0
943,132,32.62,206.9,12.24,3.4,1,0
944,81,28.54,190.7,8.69,2.48,4,1
945,122,30.6,145,10.52,3.11,2,0
946,46,43.76,261.1,9.2,3.62,2,1
947,150,29.65,169.9,9.07,2.97,1,0
948,99,27.15,155.4,11.51,2.27,1,0
949,87,40.32,222.6,7.8,2.97,1,0
950,108,17.51,242.3,7.66,2.13,1,0
951,101,26.15,234,8.83,3.13,4,0
952,53,34.87,160.5,6.73,2.89,3,0
953,132,29.87,187.2,10.15,2.32,2,0
954,158,26.5,224.2,9.95,2.32,2,0
955,114,26.25,221.4,9.38,2.78,0,0
956,77,35.65,183.6,9.25,1.92,2,0
957,144,25.5,285.9,8.58,2.54,0,0
958,91,39.51,186,8.57,3.32,3,0
959,58,28.12,115.7,8.72,3.46,2,0
960,5,33.86,187.3,9.63,3.59,3,0
961,97,36.99,320.5,6.78,1.13,0,0
962,107,36.06,150.1,9.89,2.08,3,0
963,142,26.18,165.8,12.15,2.92,1,0
964,9,32.95,202.6,8.6,3.59,1,0
965,73,29.82,248.1,5.51,3.29,0,0
966,48,25.84,258.8,11.84,4.24,2,1
967,43,39.13,186.7,5.78,2.48,0,0
968,122,29.73,248.2,7.41,3.65,1,1
969,93,32.33,262.2,5.85,2.38,0,0
970,85,29.99,224.9,9.88,3.11,1,0
971,59,27.35,251.2,12.3,1.35,3,0
972,87,38.88,163,6.93,3.19,1,0
973,137,24.48,181.6,5.76,3.32,0,0
974,21,23.1,271,8.06,2.57,6,0
975,129,56.83,192.1,8.59,2.81,0,1
976,104,22.19,131.2,11.91,3.51,0,0
977,93,22.81,162.5,8.4,3.19,4,1
978,63,47.26,266.4,10.08,3.54,4,1
979,161,17.92,214.8,10.06,2.11,0,0
980,50,32.11,203.9,6.83,3.13,3,0
981,103,19.01,239.6,12.07,1.86,1,0
982,84,27.05,149.8,9.6,3.51,1,0
983,92,36.11,224.6,9.96,2.43,1,0
984,77,24.19,306.3,8.84,2.67,1,0
985,64,58.96,249.5,12.39,3.59,1,1
986,159,19.36,145.3,8.78,3.19,1,0
987,110,45.54,263.3,8.01,2.24,1,1
988,138,29.14,115.2,10.1,4.59,3,0
989,178,46.82,187.5,6.62,3.67,1,0
990,38,33.52,249.9,13.45,1.05,0,0
991,50,32.74,135.2,9.73,2.13,2,0
992,45,15.59,150.6,2.85,2.08,1,0
993,70,21.47,141.6,11.52,2.59,0,0
994,147,42.76,234.1,9.6,2.81,3,0
995,94,32.4,152.3,6.51,2.03,1,0
996,179,19.74,201.8,8.19,3.13,0,0
997,116,36.94,216.1,6.66,3.05,2,0
998,59,30.5,232.5,7.91,3.97,0,0
999,165,35.31,164.8,2.45,2.13,0,0
1000,133,47.14,228.4,5.28,3.46,2,1
1001,140,21.3,167.6,11.73,2.27,1,0
1002,93,23.48,167.3,10.75,1.84,2,0
1003,52,28.78,225.9,7.74,2.21,0,0
1004,64,34.22,143.8,6.76,3.32,1,0
1005,12,36.84,116.5,9.9,2.65,2,0
1006,48,32.37,317.5,6,2.24,2,0
1007,181,24.36,195.5,10.05,1.62,1,0
1008,168,16.56,203.6,7.83,3.08,2,0
1009,155,30.84,167.7,7.58,3.05,3,0
1010,105,41.89,256.2,7.61,1.03,0,0
1011,11,24.38,289.4,8.73,2.62,2,0
1012,182,17.83,198.5,11.62,2.16,2,0
1013,104,26.55,193,10.02,3.54,1,0
1014,102,19.52,81.9,13.69,3.24,0,0
1015,122,39.53,205.5,9.62,3.21,0,0
1016,41,24.41,152.4,8.75,2.32,1,0
1017,132,30.04,244.1,7.93,2.46,2,0
1018,76,44.78,230.3,7.68,3.08,1,1
1019,13,24.89,148.5,9.75,3.05,1,0
1020,115,24.65,194.5,10.9,3.83,2,0
1021,67,28.53,167.7,4.96,2.27,1,0
1022,154,28.37,154.9,8.52,1.94,0,0
1023,100,24.23,195.7,5.49,2.11,2,0
1024,146,22.61,262.8,9.64,3.02,1,0
1025,148,42.99,284.3,11.83,3.32,1,0
1026,67,16.15,291.2,7.18,2.7,2,0
1027,161,33.01,249.4,11.47,3.48,1,1
1028,70,37.88,215.9,10.06,0,1,0
1029,116,34.31,231.5,10.17,4.46,0,0
1030,99,36.72,232.3,9.7,2.51,2,1
1031,87,24.87,171.8,7.54,1.43,1,0
1032,87,39.92,140.9,9.19,2.57,1,0
1033,70,33.76,213.9,7.7,2.86,2,0
1034,131,16.05,215.1,8.09,3.54,2,0
1035,119,32.37,215.6,7.25,2.7,2,0
1036,119,24.24,208.2,7.69,3.24,3,0
1037,87,22.81,165,7.79,2.89,0,0
1038,112,19.02,114,6.61,3.81,5,1
1039,75,20.88,211.3,11.76,2.89,2,0
1040,150,32.18,220.9,10.74,2.48,4,0
1041,161,40.87,201.8,9.27,4.35,0,0
1042,91,15.9,183.4,10.83,2.67,0,0
1043,124,26.96,211.2,8.07,2.75,3,0
1044,94,41.34,147,4.27,1.94,4,0
1045,217,29.99,158.8,13.8,2.51,4,0
1046,158,37.55,242.2,10.5,1.73,0,0
1047,102,24.55,266.5,9.79,1.92,0,0
1048,85,36.09,228.4,7.35,2.08,0,0
1049,79,24.99,165.7,10.94,2.27,1,0
1050,139,16.35,178.9,8.19,3.48,2,0
1051,103,44.78,179.1,9.66,2.78,0,0
1052,98,2.13,256.6,7.62,2.08,1,0
1053,78,27.59,192.4,10.83,2.73,2,0
1054,50,31.21,58.6,9.12,2.35,1,0
1055,161,30.28,146.5,6.19,2.3,1,0
1056,67,34.24,97.6,9.11,1.89,0,0
1057,86,20.91,133.9,6.22,3.59,1,0
1058,92,35.36,198.9,3.44,2.32,0,0
1059,174,40.66,188.5,4.75,2.38,1,0
1060,124,32.81,89.8,7.78,4.13,1,0
1061,132,29.67,245.6,7.78,2.78,1,0
1062,190,19.84,145.9,7.88,2.67,1,0
1063,101,15.95,150,10.85,2.89,1,0
1064,185,26.2,118.7,11.63,3.48,2,0
1065,68,40.72,203.8,7.55,2.67,0,0
1066,117,36.72,224.1,12.06,3.19,0,0
1067,118,31.86,177.8,10.5,3.29,1,0
1068,124,28.46,233.2,4.93,2.78,0,0
1069,22,27.27,218.1,8.68,3.38,1,0
1070,75,24.34,209.1,7.79,3.21,1,0
1071,134,34.9,240.5,8.06,1.35,1,0
1072,164,37.25,151.5,2.25,3.86,1,0
1073,44,24.34,169.8,9.71,2.05,1,0
1074,177,39.58,175.2,9.55,3.38,2,0
1075,110,27.54,247.5,7,2.4,0,0
1076,53,4.4,206.5,10.26,1.76,1,0
1077,108,26.21,112.3,11.09,4.16,4,1
1078,80,54.79,222,7.33,1.81,0,1
1079,158,35.68,221.3,9.45,2.21,1,0
1080,114,32.56,175.2,9.91,0,0,0
1081,64,49.49,226.7,9.86,2.03,1,0
1082,88,36.65,216.2,7.71,3.19,3,0
1083,82,35.5,213.7,7.88,3.35,3,0
1084,111,43.5,204.1,7.71,3.32,3,0
1085,60,42.96,221.1,4.95,3.35,2,0
1086,113,22.46,247.5,11.08,1.86,3,0
1087,109,36.89,207,12.06,2.21,1,0
1088,105,17.32,223.1,10.87,3.48,0,0
1089,85,35.96,184.6,7.39,3.59,2,0
1090,131,26.08,198.5,7.4,2.81,0,0
1091,59,28.27,239.3,5.54,2.7,2,0
1092,148,31.48,170.4,7.43,2.57,1,0
1093,210,17.78,149.5,11.48,1.76,2,0
1094,115,41.68,159,10.35,1.94,0,0
1095,106,46.65,198.6,7.24,1.62,1,0
1096,93,16.73,249.6,11.17,3.83,1,0
1097,57,47.58,223.1,11.33,3.51,1,0
1098,98,31.82,195.6,8.18,1.38,1,0
1099,157,46.95,165.8,6.82,0.59,3,0
1100,116,34.07,272.8,9.65,2.24,1,0
1101,30,27.59,244,8.1,2.46,2,0
1102,111,30.07,102.8,9.62,2.84,4,1
1103,52,28.14,205.5,9.61,3.29,0,0
1104,72,37.03,189.7,8.22,2.81,4,0
1105,135,34.24,246.5,6.97,3.48,2,1
1106,86,32.39,179.6,11.63,2.73,3,0
1107,98,30.58,189.2,7.39,3.46,3,0
1108,151,40.1,80.6,9.58,1.57,3,0
1109,118,23.87,187.1,9.36,2.13,0,0
1110,117,24.58,258.8,11.39,2,2,0
1111,55,32.13,118.5,11.16,4.62,0,0
1112,82,17.17,155.6,13.7,3.59,0,0
1113,152,35.07,292.8,1.97,2.86,1,0
1114,108,28.07,267,11.28,2.94,1,0
1115,98,28.05,202.6,7.75,3.38,1,1
1116,130,26.5,256.1,11.83,3.16,3,0
1117,136,33.86,214.7,6.79,3.19,1,0
1118,47,26.4,188.2,11.12,3.32,3,0
1119,189,35.41,236.7,8.06,3.05,3,0
1120,107,26.71,162.6,6.75,3.27,1,0
1121,91,26.25,168.3,10.8,3.16,5,1
1122,159,32.15,246.1,10.89,2.81,1,1
1123,11,22.36,230.2,12.77,2.7,2,0
1124,167,28.29,243.2,10.31,2.67,1,0
1125,111,24.19,122.8,10.33,3.46,2,0
1126,99,14.91,223,8.2,1.97,2,0
1127,159,31.3,194.5,10.15,4.56,0,0
1128,114,29.67,224.2,5.23,3.32,2,0
1129,71,17.56,138.5,7.42,2.43,2,0
1130,122,5.97,180.8,11.32,3.43,1,0
1131,100,41.92,141.4,8.54,3.51,1,0
1132,83,13.35,210.5,8.09,3.19,1,0
1133,64,25.18,164.9,9.72,3.32,5,1
1134,105,35.05,256.4,5.27,2.43,1,0
1135,144,42.77,197.6,9.41,3.29,2,0
1136,106,45.95,215.2,11.43,3.89,1,1
1137,19,26.62,224.2,11.74,3.05,1,0
1138,46,23.7,223.7,7.79,3.67,1,0
1139,127,37.43,188.4,7.77,3.16,2,0
1140,9,36.4,169.2,8.54,2.73,1,0
1141,157,33.32,213.4,8.86,2.13,1,0
1142,105,18.09,240.1,6.65,1.43,6,1
1143,105,30.5,275.4,11.07,2.7,0,0
1144,155,36.84,144.3,6.09,2.92,2,0
1145,31,30.14,152.8,7.33,1.38,0,0
1146,161,25.77,219.4,10.11,1.08,1,0
1147,95,44.57,165.2,8.74,2.86,0,0
1148,122,29.51,91.7,9.53,2.62,3,0
1149,37,18.12,147.4,10.61,2.59,2,0
1150,132,32.86,128.3,7.29,3.13,5,1
1151,119,36.92,138.7,6.27,3.05,0,0
1152,16,35.62,172.8,4.23,2.38,1,0
1153,99,16.22,207.2,6.12,1.51,1,0
1154,76,36.48,205.2,6.06,2.19,1,0
1155,167,22.37,211.3,7.57,3,4,1
1156,129,28.63,217.1,3.67,3.19,1,0
1157,116,24.89,176.6,9.57,2.11,1,0
1158,60,31.11,206.7,9.17,3,1,0
1159,128,17.56,245.9,7.25,1.73,0,0
1160,47,19.07,154.8,7.5,2.86,0,0
1161,40,29.02,179.1,12.69,2.21,3,0
1162,173,29.33,142.6,4.59,2.94,0,0
1163,157,33.03,243.2,14.5,1.92,1,0
1164,66,31.93,129.8,5.95,3.24,2,0
1165,50,52.21,289.4,7.87,2.16,0,0
1166,72,20.09,167.2,9.64,3.29,3,0
1167,130,26.18,205.9,10.52,3.48,1,0
